Date,Open,Close,High,Low
2018-03-21,129.61,128.37,129.91,127.48
2018-03-20,129.35,129.59,130.04,129.09
2018-03-19,130.37,129.1,130.8,128.63
2018-03-16,128.79,130.47,131.07,128.79
2018-03-15,128.53,128.78,128.94,127.77
2018-03-14,130.2,128.48,130.35,128.05
2018-03-13,131.15,130.27,132.09,129.89
2018-03-12,131.22,131.05,131.82,130.66
2018-03-09,131.16,130.83,131.57,130.39
2018-03-08,130.79,131.2,132.56,130.16
2018-03-07,130.07,130.65,130.86,129.3
2018-03-06,129.87,130.22,131.57,129.87
2018-03-05,129.63,129.46,130.48,128.43
2018-03-02,132.5,130.19,132.5,129.67
2018-03-01,134.33,133.36,134.33,132.39
2018-02-28,134.91,134.61,135.66,134.38
2018-02-27,134.28,135.12,135.6,134.04
2018-02-26,134.31,134.11,134.76,133.76
2018-02-23,134.52,134.03,134.52,133.47
2018-02-22,134.46,134.41,134.67,133.54
2018-02-21,134.43,134.63,134.88,133.16
2018-02-20,133.9,134.47,134.58,133.23
2018-02-19,134.31,133.82,135.23,133.82
2018-02-16,133.56,134.17,134.41,133.1
2018-02-15,132.78,133.03,135.5,132.46
2018-02-14,131.79,132.56,133.02,130.63
2018-02-13,133.49,131.67,133.81,131.67
2018-02-12,132.33,133.41,134.81,132.33
2018-02-09,134.34,132.08,134.36,130.47
2018-02-08,135.84,134.59,137.8,134.0
2018-02-07,134.16,136.13,136.77,133.19
2018-02-06,134.18,133.41,136.14,132.06
2018-02-05,137.88,136.84,138.44,136.28
2018-02-02,140.14,138.4,140.14,137.65
2018-02-01,141.1,140.29,142.53,139.33
2018-01-31,140.64,140.84,141.45,140.35
2018-01-30,142.38,140.94,142.38,140.44
2018-01-29,143.14,143.05,143.73,142.72
2018-01-26,142.89,143.04,143.49,142.28
2018-01-25,141.16,142.88,142.93,141.02
2018-01-24,141.88,141.19,142.63,141.19
2018-01-23,142.57,141.92,143.01,141.33
2018-01-22,140.23,142.29,142.71,139.56
2018-01-19,139.69,140.13,140.74,139.3
2018-01-18,139.35,139.64,139.88,138.7
2018-01-17,139.28,139.23,139.54,138.34
2018-01-16,140.42,140.0,140.95,139.59
2018-01-15,140.31,140.41,140.85,139.53
2018-01-12,139.87,140.32,140.83,139.36
2018-01-11,138.86,139.77,140.58,138.1
2018-01-10,135.54,138.86,138.99,135.5
2018-01-09,134.81,135.42,135.57,134.63
2018-01-08,134.51,134.75,135.34,134.35
2018-01-05,134.36,134.42,135.47,133.74
2018-01-04,131.38,134.32,134.84,131.38
2018-01-03,130.77,131.01,131.45,130.32
2018-01-02,130.62,130.59,131.57,129.59
2017-12-29,131.28,130.48,131.32,130.18
2017-12-28,131.83,131.27,132.17,131.16
2017-12-27,132.49,131.82,133.01,131.79
2017-12-22,133.81,132.56,133.81,132.34
2017-12-21,132.6,133.98,134.33,131.79
2017-12-20,133.59,132.77,133.81,132.27
2017-12-19,133.29,133.58,134.17,133.29
2017-12-18,132.26,133.47,133.71,132.26
2017-12-15,132.6,132.06,132.79,131.23
2017-12-14,133.63,132.67,134.61,132.67
2017-12-13,134.89,133.89,135.18,133.72
2017-12-12,134.77,135.07,135.41,133.79
2017-12-11,135.32,134.64,135.72,134.64
2017-12-08,132.33,135.07,136.13,132.33
2017-12-07,130.42,132.0,132.04,130.16
2017-12-06,131.3,130.25,131.3,129.94
2017-12-05,132.42,131.78,133.17,131.4
2017-12-04,130.81,132.43,132.9,130.81
2017-12-01,132.22,130.45,132.62,130.45
2017-11-30,133.35,132.19,134.47,132.19
2017-11-29,131.76,133.16,133.9,131.76
2017-11-28,130.86,131.34,131.76,130.82
2017-11-27,131.67,130.85,132.85,130.83
2017-11-24,130.55,131.88,132.84,130.55
2017-11-23,130.15,130.58,130.93,129.48
2017-11-22,130.11,130.3,131.52,130.11
2017-11-21,130.52,129.98,131.49,129.94
2017-11-20,130.81,130.59,131.33,130.15
2017-11-17,131.79,130.87,132.57,130.27
2017-11-16,131.6,131.78,132.88,131.28
2017-11-15,130.53,131.55,131.87,128.73
2017-11-14,131.84,130.75,132.53,130.41
2017-11-13,132.39,131.84,132.62,130.54
2017-11-10,132.04,132.35,133.32,131.96
2017-11-09,132.31,132.05,133.76,131.84
2017-11-08,132.47,132.33,132.47,130.78
2017-11-07,132.74,132.46,133.65,132.22
2017-11-06,133.66,132.63,133.66,131.87
2017-11-03,135.9,133.9,135.9,133.33
2017-11-02,135.85,135.89,136.46,134.62
